Time,Johnson Hall Electricity (kWh)
Fri Mar 06 2020 13:00:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 12:45:00 GMT-0800 (Pacific Standard Time),49
Fri Mar 06 2020 12:30:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 12:15:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 12:00:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 11:45:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 11:30:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 11:15:00 GMT-0800 (Pacific Standard Time),50
Fri Mar 06 2020 11:00:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 10:45:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 10:30:00 GMT-0800 (Pacific Standard Time),50
Fri Mar 06 2020 10:15:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 10:00:00 GMT-0800 (Pacific Standard Time),50
Fri Mar 06 2020 09:45:00 GMT-0800 (Pacific Standard Time),49
Fri Mar 06 2020 09:30:00 GMT-0800 (Pacific Standard Time),48
Fri Mar 06 2020 09:15:00 GMT-0800 (Pacific Standard Time),48
Fri Mar 06 2020 09:00:00 GMT-0800 (Pacific Standard Time),47
Fri Mar 06 2020 08:45:00 GMT-0800 (Pacific Standard Time),46
Fri Mar 06 2020 08:30:00 GMT-0800 (Pacific Standard Time),46
Fri Mar 06 2020 08:15:00 GMT-0800 (Pacific Standard Time),47
Fri Mar 06 2020 08:00:00 GMT-0800 (Pacific Standard Time),45
Fri Mar 06 2020 07:45:00 GMT-0800 (Pacific Standard Time),43
Fri Mar 06 2020 07:30:00 GMT-0800 (Pacific Standard Time),43
Fri Mar 06 2020 07:15:00 GMT-0800 (Pacific Standard Time),43
Fri Mar 06 2020 07:00:00 GMT-0800 (Pacific Standard Time),45
Fri Mar 06 2020 06:45:00 GMT-0800 (Pacific Standard Time),44
Fri Mar 06 2020 06:30:00 GMT-0800 (Pacific Standard Time),44
Fri Mar 06 2020 06:15:00 GMT-0800 (Pacific Standard Time),44
Fri Mar 06 2020 06:00:00 GMT-0800 (Pacific Standard Time),42
Fri Mar 06 2020 05:45:00 GMT-0800 (Pacific Standard Time),44
Fri Mar 06 2020 05:30:00 GMT-0800 (Pacific Standard Time),41
Fri Mar 06 2020 05:15:00 GMT-0800 (Pacific Standard Time),42
Fri Mar 06 2020 05:00:00 GMT-0800 (Pacific Standard Time),41
Fri Mar 06 2020 04:45:00 GMT-0800 (Pacific Standard Time),41
Fri Mar 06 2020 04:30:00 GMT-0800 (Pacific Standard Time),41
Fri Mar 06 2020 04:15:00 GMT-0800 (Pacific Standard Time),41
