Time,Gill Electricity (kWh)
Fri Mar 06 2020 14:00:00 GMT-0800 (Pacific Standard Time),38
Fri Mar 06 2020 13:45:00 GMT-0800 (Pacific Standard Time),38
Fri Mar 06 2020 13:30:00 GMT-0800 (Pacific Standard Time),37
Fri Mar 06 2020 13:15:00 GMT-0800 (Pacific Standard Time),37
Fri Mar 06 2020 13:00:00 GMT-0800 (Pacific Standard Time),36
Fri Mar 06 2020 12:45:00 GMT-0800 (Pacific Standard Time),36
Fri Mar 06 2020 12:30:00 GMT-0800 (Pacific Standard Time),36
Fri Mar 06 2020 12:15:00 GMT-0800 (Pacific Standard Time),36
Fri Mar 06 2020 12:00:00 GMT-0800 (Pacific Standard Time),35
Fri Mar 06 2020 11:45:00 GMT-0800 (Pacific Standard Time),36
Fri Mar 06 2020 11:30:00 GMT-0800 (Pacific Standard Time),35
Fri Mar 06 2020 11:15:00 GMT-0800 (Pacific Standard Time),36
Fri Mar 06 2020 11:00:00 GMT-0800 (Pacific Standard Time),36
Fri Mar 06 2020 10:45:00 GMT-0800 (Pacific Standard Time),35
Fri Mar 06 2020 10:30:00 GMT-0800 (Pacific Standard Time),35
Fri Mar 06 2020 10:15:00 GMT-0800 (Pacific Standard Time),36
Fri Mar 06 2020 10:00:00 GMT-0800 (Pacific Standard Time),35
Fri Mar 06 2020 09:45:00 GMT-0800 (Pacific Standard Time),36
Fri Mar 06 2020 09:30:00 GMT-0800 (Pacific Standard Time),36
Fri Mar 06 2020 09:15:00 GMT-0800 (Pacific Standard Time),34
Fri Mar 06 2020 09:00:00 GMT-0800 (Pacific Standard Time),34
Fri Mar 06 2020 08:45:00 GMT-0800 (Pacific Standard Time),33
Fri Mar 06 2020 08:30:00 GMT-0800 (Pacific Standard Time),32
Fri Mar 06 2020 08:15:00 GMT-0800 (Pacific Standard Time),31
Fri Mar 06 2020 08:00:00 GMT-0800 (Pacific Standard Time),29
Fri Mar 06 2020 07:45:00 GMT-0800 (Pacific Standard Time),29
Fri Mar 06 2020 07:30:00 GMT-0800 (Pacific Standard Time),30
Fri Mar 06 2020 07:15:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 07:00:00 GMT-0800 (Pacific Standard Time),29
Fri Mar 06 2020 06:45:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 06:30:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 06:15:00 GMT-0800 (Pacific Standard Time),27
Fri Mar 06 2020 06:00:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 05:45:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 05:30:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 05:15:00 GMT-0800 (Pacific Standard Time),27
Fri Mar 06 2020 05:00:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 04:45:00 GMT-0800 (Pacific Standard Time),27
Fri Mar 06 2020 04:30:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 04:15:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 04:00:00 GMT-0800 (Pacific Standard Time),28
